flit_id,cmd,addr,payload_bytes,transaction_payload_bytes,num_flits,tail,host_req_time_ps,host_send_flit_time_ps,target_recv_flit_time_ps,conv_recv_time_ps,ack_time_ps,flit_latency_ps,target_to_conv_ps,ack_latency_ps,end_to_end_latency_ps,ack,nak,transmitted_bytes,padding_bytes,packing_efficiency
1,READ,0x0,4,4,1,1,5000,7337,17337,17337,17337,10000,0,10000,12337,1,0,256,252,0.015625
2,READ,0x4,4,4,1,1,10000,12006,22006,22006,22006,10000,0,10000,12006,1,0,256,252,0.015625
3,WRITE,0x8,4,4,1,1,15000,17342,27342,27342,27342,10000,0,10000,12342,1,0,256,252,0.015625
4,READ,0xc,4,4,1,1,20000,22011,32011,32011,32011,10000,0,10000,12011,1,0,256,252,0.015625
5,WRITE,0x10,4,4,1,1,25000,27347,37347,37347,37347,10000,0,10000,12347,1,0,256,252,0.015625
6,WRITE,0x14,4,4,1,1,30000,32016,42016,42016,42016,10000,0,10000,12016,1,0,256,252,0.015625
7,WRITE,0x18,4,4,1,1,35000,37352,47352,47352,47352,10000,0,10000,12352,1,0,256,252,0.015625
8,READ,0x1c,4,4,1,1,40000,42021,52021,52021,52021,10000,0,10000,12021,1,0,256,252,0.015625
9,WRITE,0x20,4,4,1,1,45000,47357,57357,57357,57357,10000,0,10000,12357,1,0,256,252,0.015625
10,WRITE,0x24,4,4,1,1,50000,52026,62026,62026,62026,10000,0,10000,12026,1,0,256,252,0.015625
11,WRITE,0x28,4,4,1,1,55000,57362,67362,67362,67362,10000,0,10000,12362,1,0,256,252,0.015625
12,READ,0x2c,4,4,1,1,60000,62031,72031,72031,72031,10000,0,10000,12031,1,0,256,252,0.015625
13,READ,0x30,4,4,1,1,65000,67367,77367,77367,77367,10000,0,10000,12367,1,0,256,252,0.015625
14,WRITE,0x34,4,4,1,1,70000,72036,82036,82036,82036,10000,0,10000,12036,1,0,256,252,0.015625
15,WRITE,0x38,4,4,1,1,75000,77372,87372,87372,87372,10000,0,10000,12372,1,0,256,252,0.015625
16,READ,0x3c,4,4,1,1,80000,82041,92041,92041,92041,10000,0,10000,12041,1,0,256,252,0.015625
