tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
1,1,64,80,20.0,150.0,50.0,0.0,220.0
2,2,64,80,20.0,150.0,50.0,0.0,220.0
3,3,64,80,20.0,150.0,50.0,0.0,220.0
4,4,64,80,20.0,150.0,50.0,0.0,220.0
5,5,64,80,20.0,150.0,50.0,0.0,220.0
6,6,64,80,20.0,150.0,50.0,0.0,220.0
7,7,64,80,20.0,150.0,50.0,0.0,220.0
8,8,64,80,20.0,150.0,50.0,0.0,220.0
9,9,64,80,20.0,150.0,50.0,0.0,220.0
10,10,64,80,20.0,150.0,50.0,0.0,220.0
11,11,64,80,20.0,150.0,50.0,0.0,220.0
12,12,64,80,20.0,150.0,50.0,0.0,220.0
13,13,64,80,20.0,150.0,50.0,0.0,220.0
14,14,64,80,20.0,150.0,50.0,0.0,220.0
15,15,64,80,20.0,150.0,50.0,0.0,220.0
16,16,64,80,20.0,150.0,50.0,0.0,220.0
17,17,4,20,20.0,150.0,50.0,0.0,220.0
18,18,4,20,20.0,150.0,50.0,0.0,220.0
19,19,4,20,20.0,150.0,50.0,0.0,220.0
20,20,4,20,20.0,150.0,50.0,0.0,220.0
21,21,4,20,20.0,150.0,50.0,0.0,220.0
22,22,4,20,20.0,150.0,50.0,0.0,220.0
23,23,4,20,20.0,150.0,50.0,0.0,220.0
24,24,4,20,20.0,150.0,50.0,0.0,220.0
25,25,4,20,20.0,150.0,50.0,0.0,220.0
26,26,4,20,20.0,150.0,50.0,0.0,220.0
27,27,4,20,20.0,150.0,50.0,0.0,220.0
28,28,4,20,20.0,150.0,50.0,0.0,220.0
29,29,4,20,20.0,150.0,50.0,0.0,220.0
30,30,4,20,20.0,150.0,50.0,0.0,220.0
31,31,4,20,20.0,150.0,50.0,0.0,220.0
32,32,4,20,20.0,150.0,50.0,0.0,220.0
33,33,4,20,20.0,150.0,50.0,0.0,220.0
34,34,4,20,20.0,150.0,50.0,0.0,220.0
35,35,4,20,20.0,150.0,50.0,0.0,220.0
36,36,4,20,20.0,150.0,50.0,0.0,220.0
37,37,4,20,20.0,150.0,50.0,0.0,220.0
38,38,4,20,20.0,150.0,50.0,0.0,220.0
39,39,4,20,20.0,150.0,50.0,0.0,220.0
40,40,4,20,20.0,150.0,50.0,0.0,220.0
41,41,4,20,20.0,150.0,50.0,0.0,220.0
42,42,4,20,20.0,150.0,50.0,0.0,220.0
43,43,4,20,20.0,150.0,50.0,0.0,220.0
44,44,4,20,20.0,150.0,50.0,0.0,220.0
45,45,4,20,20.0,150.0,50.0,0.0,220.0
46,46,4,20,20.0,150.0,50.0,0.0,220.0
47,47,4,20,20.0,150.0,50.0,0.0,220.0
48,48,4,20,20.0,150.0,50.0,0.0,220.0
49,49,4,20,20.0,150.0,50.0,0.0,220.0
50,50,4,20,20.0,150.0,50.0,0.0,220.0
51,51,4,20,20.0,150.0,50.0,0.0,220.0
52,52,4,20,20.0,150.0,50.0,0.0,220.0
53,53,4,20,20.0,150.0,50.0,0.0,220.0
54,54,4,20,20.0,150.0,50.0,0.0,220.0
55,55,4,20,20.0,150.0,50.0,0.0,220.0
56,56,4,20,20.0,150.0,50.0,0.0,220.0
57,57,4,20,20.0,150.0,50.0,0.0,220.0
58,58,4,20,20.0,150.0,50.0,0.0,220.0
59,59,4,20,20.0,150.0,50.0,0.0,220.0
60,60,4,20,20.0,150.0,50.0,0.0,220.0
61,61,4,20,20.0,150.0,50.0,0.0,220.0
62,62,4,20,20.0,150.0,50.0,0.0,220.0
63,63,4,20,20.0,150.0,50.0,0.0,220.0
64,64,4,20,20.0,150.0,50.0,0.0,220.0
65,65,4,20,20.0,150.0,50.0,0.0,220.0
66,66,4,20,20.0,150.0,50.0,0.0,220.0
67,67,4,20,20.0,150.0,50.0,0.0,220.0
68,68,4,20,20.0,150.0,50.0,0.0,220.0
69,69,4,20,20.0,150.0,50.0,0.0,220.0
70,70,4,20,20.0,150.0,50.0,0.0,220.0
71,71,4,20,20.0,150.0,50.0,0.0,220.0
72,72,4,20,20.0,150.0,50.0,0.0,220.0
73,73,4,20,20.0,150.0,50.0,0.0,220.0
74,74,4,20,20.0,150.0,50.0,0.0,220.0
75,75,4,20,20.0,150.0,50.0,0.0,220.0
76,76,4,20,20.0,150.0,50.0,0.0,220.0
