flit_id,cmd,addr,payload_bytes,flit_size_bytes,transmitted_bytes,padding_bytes,packing_efficiency_percent,packing_overhead_percent,ack,nak,measured_transmission_ns,measured_accumulation_ns,measured_total_link_ns,theoretical_total_link_ns,error_percent,target_to_conv_ns,host_send_to_ack_ns,host_req_to_ack_ns
1,WRITE,0x0,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.337
2,WRITE,0x4,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.006
3,WRITE,0x8,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.342
4,WRITE,0xc,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.011
5,WRITE,0x10,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.347
6,WRITE,0x14,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.016
7,WRITE,0x18,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.352
8,WRITE,0x1c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.021
9,WRITE,0x20,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.357
10,WRITE,0x24,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.026
11,WRITE,0x28,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.362
12,WRITE,0x2c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.031
13,WRITE,0x30,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.367
14,WRITE,0x34,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.036
15,WRITE,0x38,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.372
16,WRITE,0x3c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.041
17,WRITE,0x1000,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.17
18,READ,0x1004,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.003
19,READ,0x0,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.503
20,READ,0x4,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.172
21,READ,0x8,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.508
22,READ,0xc,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.177
23,READ,0x10,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.513
24,READ,0x14,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.182
25,READ,0x18,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.518
26,READ,0x1c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.187
27,READ,0x20,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.523
28,READ,0x24,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.192
29,READ,0x28,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.528
30,READ,0x2c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.197
31,READ,0x30,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.533
32,READ,0x34,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.202
33,READ,0x38,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.538
34,READ,0x3c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.207
35,READ,0x0,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.336
36,READ,0x4,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.005
37,READ,0x8,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.341
38,READ,0xc,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.01
39,READ,0x10,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.346
40,READ,0x14,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.015
41,READ,0x18,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.351
42,READ,0x1c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.02
43,READ,0x20,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.356
44,READ,0x24,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.025
45,READ,0x28,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.361
46,READ,0x2c,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.03
47,READ,0x30,4,256,256,252,1.5625,98.4375,1,0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,12.366
